Title,Genres,Anime_Rank,Anime_Popularity,Anime_Score,Episodes,Episode_length,Stream_type,Start date,End date,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Manga_Chapters,Manga_Published,Manga_Demographics,Manga_Serialization,Manga_Author,Manga,Genre_1,Genre_2,Genre_3
Code Geass: Hangyaku no Lelouch,"Action,Drama,Sci-Fi",50,17,8.7,25,24 min. per ep.,TV ,Oct 2006 , Jul 2007,2269727,7.96,825.0,4742.0,4078.0,28,"Apr  28, 2007 to Mar  1, 2008",[],The Sneaker,"Taniguchi, Gorou (Story), Ookouchi, Ichirou (Story), Iwasa, Mamoru (Story), Kumura, Takahiro (Art)",True,Action,Drama,Sci-Fi
Gintama,"Action,Comedy,Sci-Fi",16,127,8.95,201,24 min. per ep.,TV ,Apr 2006 , Mar 2010,1072687,8.63,78.0,144.0,93866.0,709,"Dec  8, 2003 to Jun  20, 2019",['Shounen'],Shounen Jump (Weekly),"Sorachi, Hideaki (Story & Art)",True,Action,Comedy,Sci-Fi
Ginga Eiyuu Densetsu,"Drama,Sci-Fi",11,700,9.03,110,26 min. per ep.,OVA ,Jan 1988 , Mar 1997,325595,8.59,96.0,1965.0,9716.0,94,Nov  1982 to Nov  1987,[],,"Tanaka, Yoshiki (Story), Katou, Naoyuki (Art), Kamoshita, Yukihisa (Art)",True,Drama,Sci-Fi,
Vinland Saga,"Action,Adventure,Drama",43,102,8.73,24,24 min. per ep.,TV ,Jul 2019 , Dec 2019,1541813,9.06,7.0,19.0,294903.0,Unknown,"Apr  13, 2005 to ?",['Seinen'],Afternoon,"Yukimura, Makoto (Story & Art)",True,Action,Adventure,Drama
Sora yori mo Tooi Basho,"Adventure,Comedy,Drama",95,416,8.54,13,23 min. per ep.,TV ,Jan 2018 , Mar 2018,509120,7.29,4883.0,5169.0,3721.0,17,"Dec  27, 2017 to Feb  27, 2019",['Seinen'],Comic Alive,"Yoimachi, Meme (Art)",True,Adventure,Comedy,Drama
Yakusoku no Neverland,"Mystery,Sci-Fi,Suspense",96,39,8.54,12,22 min. per ep.,TV ,Jan 2019 , Mar 2019,1985378,8.16,475.0,17.0,304609.0,181,"Aug  1, 2016 to Jun  15, 2020",['Shounen'],Shounen Jump (Weekly),"Demizu, Posuka (Art), Shirai, Kaiu (Story)",True,Mystery,Sci-Fi,Suspense
Koukaku Kidoutai: Stand Alone Complex,"Action,Sci-Fi",148,504,8.43,26,25 min. per ep.,TV ,Oct 2002 , Oct 2003,399807,7.77,1393.0,7344.0,2493.0,45,"Jan  21, 2004 to Feb  4, 2005",[],,"Fujisaku, Junichi (Story)",True,Action,Sci-Fi,
Code Geass: Hangyaku no Lelouch R2,"Action,Drama,Sci-Fi",20,47,8.91,25,24 min. per ep.,TV ,Apr 2008 , Sep 2008,1796432,7.58,2340.0,13812.0,1074.0,27,"May  31, 2008 to Feb  28, 2009",[],,"Taniguchi, Gorou (Story), Ookouchi, Ichirou (Story), Iwasa, Mamoru (Story), toi8 (Art)",True,Action,Drama,Sci-Fi
Mononoke,"Fantasy,Horror,Mystery,Supernatural",149,710,8.43,12,22 min. per ep.,TV ,Jul 2007 , Sep 2007,332149,7.68,1765.0,2475.0,7940.0,19,"Aug  17, 2007 to Aug  1, 2008",['Seinen'],Young Gangan,"Ninagawa, Yaeko (Art)",True,Fantasy,Horror,Mystery
Psycho-Pass,"Action,Sci-Fi,Suspense",198,55,8.35,22,23 min. per ep.,TV ,Oct 2012 , Mar 2013,1644298,7.66,1858.0,8044.0,2226.0,Unknown,"Feb  4, 2013 to Apr  4, 2013",[],,"Fukami, Makoto (Story)",True,Action,Sci-Fi,Suspense
Given,"Boys Love,Drama,Romance,Slice of Life",195,387,8.35,11,22 min. per ep.,TV ,Jul 2019 , Sep 2019,577772,8.53,119.0,260.0,59618.0,58,"Apr  30, 2013 to Mar  30, 2023",[],Cheri+,"Kizu, Natsuki (Story & Art)",True,Boys Love,Drama,Romance
Mahou Shoujo Madoka★Magica,"Drama,Suspense",193,90,8.36,12,24 min. per ep.,TV ,Jan 2011 , Apr 2011,1300264,8.08,613.0,428.0,38754.0,12,"Feb  12, 2011 to May  30, 2011",[],,"Magica Quartet (Story), Hanokage (Art)",True,Drama,Suspense,
Saiki Kusuo no Ψ-nan,"Comedy,Supernatural",150,138,8.43,120,5 min. per ep.,TV ,Jul 2016 , Dec 2016,1116165,8.3,305.0,528.0,32046.0,290,"May  14, 2012 to Jul  26, 2018",['Shounen'],Shounen Jump (Weekly),"Asou, Shuuichi (Story & Art)",True,Comedy,Supernatural,
Kaze no Tani no Nausicaä,"Adventure,Fantasy",187,575,8.37,1,1 hr. 57 min.,Movie ,Mar 1984 , Mar 1984,381629,8.82,30.0,277.0,57071.0,59,"Oct  9, 1982 to Feb  10, 1994",[],Animage,"Miyazaki, Hayao (Story & Art)",True,Adventure,Fantasy,
Kotarou wa Hitorigurashi,"Comedy,Slice of Life",188,2262,8.37,10,27 min. per ep.,ONA ,Mar 2022 , Mar 2022,157538,7.61,2183.0,8851.0,1964.0,Unknown,"Mar  13, 2015 to ?",['Seinen'],Big Comic Superior,"Tsumura, Mami (Story & Art)",True,Comedy,Slice of Life,
Nodame Cantabile,"Comedy,Drama,Romance,Slice of Life",249,662,8.28,23,22 min. per ep.,TV ,Jan 2007 , Jun 2007,316867,8.41,201.0,644.0,26912.0,150,"Jul  10, 2001 to Aug  25, 2010",['Josei'],Kiss,"Ninomiya, Tomoko (Story & Art)",True,Comedy,Drama,Romance
Ashita no Joe,"Action,Drama,Slice of Life,Sports",245,2072,8.29,79,25 min. per ep.,TV ,Apr 1970 , Sep 1971,94181,8.94,15.0,309.0,51006.0,171,"Jan  1, 1968 to May  13, 1973",['Shounen'],Shounen Magazine (Weekly),"Kajiwara, Ikki (Story), Chiba, Tetsuya (Art)",True,Action,Drama,Slice of Life
Fate/Zero,"Action,Fantasy,Supernatural",246,68,8.29,13,28 min. per ep.,TV ,Oct 2011 , Dec 2011,1510444,8.51,138.0,641.0,27047.0,18,"Dec  29, 2006 to Dec  29, 2007",[],,"Takeuchi, Takashi (Art), Urobuchi, Gen (Story)",True,Action,Fantasy,Supernatural
Kino no Tabi: The Beautiful World,"Action,Adventure,Slice of Life",244,719,8.3,13,24 min. per ep.,TV ,Apr 2003 , Jul 2003,321008,8.68,55.0,954.0,18503.0,Unknown,"Mar  10, 2000 to ?",[],,"Sigsawa, Keiichi (Story), Kuroboshi, Kouhaku (Art)",True,Action,Adventure,Slice of Life
Beck,"Comedy,Drama,Slice of Life",239,633,8.3,26,25 min. per ep.,TV ,Oct 2004 , Mar 2005,344988,8.69,52.0,193.0,77258.0,103,"Feb  17, 2000 to Jun  5, 2008",['Shounen'],Shounen Magazine (Monthly),"Sakuishi, Harold (Story & Art)",True,Comedy,Drama,Slice of Life
Shinsekai yori,"Drama,Horror,Mystery,Sci-Fi,Supernatural",234,217,8.31,25,22 min. per ep.,TV ,Sep 2012 , Mar 2013,782551,7.9,994.0,12062.0,1297.0,37,"Jan  25, 2008",[],,"Kishi, Yusuke (Story)",True,Drama,Horror,Mystery
Dr. Stone,"Adventure,Comedy,Sci-Fi",242,60,8.3,24,24 min. per ep.,TV ,Jul 2019 , Dec 2019,1756985,8.2,418.0,39.0,187097.0,233,"Mar  6, 2017 to Mar  7, 2022",['Shounen'],Shounen Jump (Weekly),"Inagaki, Riichiro (Story), Boichi (Art)",True,Adventure,Comedy,Sci-Fi
Hotarubi no Mori e,"Drama,Romance,Supernatural",228,205,8.31,1,45 min.,Movie ,Sep 2011 , Sep 2011,828742,8.06,638.0,861.0,20383.0,4,"Jun  10, 2002 to Mar  24, 2003",['Shoujo'],LaLa,"Midorikawa, Yuki (Story & Art)",True,Drama,Romance,Supernatural
Rurouni Kenshin: Meiji Kenkaku Romantan,"Action,Adventure,Comedy,Romance",236,402,8.3,94,25 min. per ep.,TV ,Jan 1996 , Sep 1998,498765,8.56,104.0,139.0,96466.0,259,"Apr  12, 1994 to Sep  21, 1999",['Shounen'],Shounen Jump (Weekly),"Watsuki, Nobuhiro (Story & Art)",True,Action,Adventure,Comedy
Shoujo Kakumei Utena,"Comedy,Drama,Fantasy,Mystery",350,1021,8.18,39,23 min. per ep.,TV ,Apr 1997 , Dec 1997,223549,7.34,4257.0,16740.0,796.0,12,Nov  1997 to Jan  1998,['Shoujo'],,"Saitou, Chiho (Art), Ookouchi, Ichirou (Story)",True,Comedy,Drama,Fantasy
Kanata no Astra,"Adventure,Mystery,Sci-Fi",448,758,8.1,12,28 min. per ep.,TV ,Jul 2019 , Sep 2019,309369,8.01,721.0,912.0,19296.0,49,"May  9, 2016 to Dec  30, 2017",['Shounen'],Shounen Jump+,"Shinohara, Kenta (Story & Art)",True,Adventure,Mystery,Sci-Fi
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,"Action,Adventure,Drama,Supernatural",447,116,8.1,24,24 min. per ep.,TV ,Apr 2014 , Sep 2014,1231092,8.1,576.0,142.0,95117.0,152,"Mar  20, 1989 to Apr  14, 1992",['Shounen'],Shounen Jump (Weekly),"Araki, Hirohiko (Story & Art)",True,Action,Adventure,Drama
Hyouka,"Mystery,Slice of Life",446,87,8.1,22,25 min. per ep.,TV ,Apr 2012 , Sep 2012,1383194,8.07,615.0,977.0,18065.0,Unknown,"Jan  26, 2012 to ?",['Shounen'],Shounen Ace,"Yonezawa, Honobu (Story), Ohna, Task (Art)",True,Mystery,Slice of Life,
Shokugeki no Souma,"Gourmet,Ecchi",349,53,8.18,24,25 min. per ep.,TV ,Apr 2015 , Sep 2015,1653644,7.92,928.0,45.0,177182.0,325,"Nov  26, 2012 to Aug  29, 2019",['Shounen'],Shounen Jump (Weekly),"Saeki, Shun (Art), Tsukuda, Yuuto (Story), Morisaki, Yuki (Story)",True,Gourmet,Ecchi,
Hachimitsu to Clover,"Comedy,Drama,Romance,Slice of Life",546,801,8.02,24,23 min. per ep.,TV ,Apr 2005 , Sep 2005,270221,8.28,327.0,751.0,23138.0,71,"Apr  24, 2000 to Jul  28, 2006",['Josei'],Young You,"Umino, Chica (Story & Art)",True,Comedy,Drama,Romance
Golden Boy,"Adventure,Comedy,Ecchi",545,594,8.02,6,28 min. per ep.,OVA ,Oct 1995 , Jun 1996,405267,7.04,8083.0,885.0,19932.0,104,Jun  1993 to Jan  1998,['Seinen'],Super Jump,"Egawa, Tatsuya (Story & Art)",True,Adventure,Comedy,Ecchi
Tamako Love Story,"Comedy,Romance,Slice of Life",645,560,7.94,1,1 hr. 23 min.,Movie ,Apr 2014 , Apr 2014,392801,7.55,2540.0,14382.0,1012.0,Unknown,"Jul  2, 2014",[],,"Horiguchi, Yukiko (Art), Ichinose, Mutsuki (Story)",True,Comedy,Romance,Slice of Life
Hokuto no Ken,"Action,Drama,Sci-Fi",599,1526,7.97,109,25 min. per ep.,TV ,Oct 1984 , Mar 1987,133003,8.11,555.0,373.0,43484.0,245,"Sep  13, 1983 to Jul  26, 1988",['Shounen'],Shounen Jump (Weekly),"Hara, Tetsuo (Art), Buronson (Story)",True,Action,Drama,Sci-Fi
Ookiku Furikabutte,"Comedy,Sports",697,1814,7.91,25,25 min. per ep.,TV ,Apr 2007 , Sep 2007,101397,8.17,455.0,1980.0,9635.0,Unknown,"Sep  25, 2003 to ?",['Seinen'],Afternoon,"Higuchi, Asa (Story & Art)",True,Comedy,Sports,
Kono Oto Tomare!,"Drama,Romance",695,819,7.91,13,23 min. per ep.,TV ,Apr 2019 , Jun 2019,311185,8.69,53.0,401.0,41142.0,Unknown,"Aug  4, 2012 to ?",['Shounen'],Jump SQ.,"Sakura, Amyuu (Story & Art)",True,Drama,Romance,
Drifters,"Action,Adventure,Comedy,Fantasy",689,359,7.91,12,23 min. per ep.,TV ,Oct 2016 , Dec 2016,573648,7.8,1297.0,436.0,38166.0,Unknown,"Apr  30, 2009 to ?",['Seinen'],Young King OURs,"Hirano, Kouta (Story & Art)",True,Action,Adventure,Comedy
Kotonoha no Niwa,"Drama,Romance,Slice of Life",685,189,7.92,1,46 min.,Movie ,May 2013 , May 2013,871341,7.63,2084.0,1472.0,13025.0,7,"Apr  25, 2013 to Oct  25, 2013",['Seinen'],Afternoon,"Shinkai, Makoto (Story), Motohashi, Midori (Art)",True,Drama,Romance,Slice of Life
Hanasaku Iroha,"Comedy,Drama,Slice of Life",682,617,7.92,26,24 min. per ep.,TV ,Apr 2011 , Sep 2011,333330,7.31,4648.0,6524.0,2874.0,24,"Nov  22, 2010 to Sep  22, 2012",['Shounen'],Gangan Joker,"Chida, Eight (Art)",True,Comedy,Drama,Slice of Life
Bungou Stray Dogs: Dead Apple,"Action,Comedy,Mystery,Supernatural",688,905,7.91,1,1 hr. 30 min.,Movie ,Mar 2018 , Mar 2018,284837,8.2,423.0,3293.0,6081.0,15,"Mar  9, 2018 to Jun  29, 2023",[],Young Ace UP,Ganjii (Art),True,Action,Comedy,Mystery
Bungou Stray Dogs,"Action,Comedy,Mystery,Supernatural",848,91,7.82,12,23 min. per ep.,TV ,Apr 2016 , Jun 2016,1409369,8.52,132.0,157.0,88304.0,Unknown,"Dec  4, 2012 to ?",['Seinen'],Young Ace,"Asagiri, Kafka (Story), Harukawa35 (Art)",True,Action,Comedy,Mystery
Udon no Kuni no Kiniro Kemari,"Fantasy,Slice of Life",996,1500,7.75,12,22 min. per ep.,TV ,Oct 2016 , Dec 2016,135688,7.34,4280.0,7687.0,2350.0,72,"Jun  21, 2012 to Feb  15, 2019",['Seinen'],Comic@Bunch,"Shinomaru, Nodoka (Story & Art)",True,Fantasy,Slice of Life,
Mairimashita! Iruma-kun,"Comedy,Fantasy,Supernatural",997,516,7.74,23,23 min. per ep.,TV ,Oct 2019 , Mar 2020,495696,8.34,262.0,285.0,55546.0,Unknown,"Mar  2, 2017 to ?",['Shounen'],Shounen Champion (Weekly),"Nishi, Osamu (Story & Art)",True,Comedy,Fantasy,Supernatural
Tsuki ga Michibiku Isekai Douchuu,"Action,Adventure,Comedy,Fantasy",1047,723,7.72,12,23 min. per ep.,TV ,Jul 2021 , Sep 2021,453233,7.96,834.0,2152.0,9041.0,Unknown,"May  28, 2013 to ?",[],,"Azumi, Kei (Story), Matsumoto, Mitsuaki (Art)",True,Action,Adventure,Comedy
Kami nomi zo Shiru Sekai,"Comedy,Romance,Supernatural",1150,300,7.68,12,23 min. per ep.,TV ,Oct 2010 , Dec 2010,632370,8.47,164.0,117.0,108817.0,271,"Apr  9, 2008 to Apr  23, 2014",['Shounen'],Shounen Sunday,"Wakaki, Tamiki (Story & Art)",True,Comedy,Romance,Supernatural
Akage no Anne,"Drama,Slice of Life",1049,3613,7.72,50,25 min. per ep.,TV ,Jan 1979 , Dec 1979,34236,7.31,4624.0,10455.0,1586.0,18,1997,['Shoujo'],,"Igarashi, Yumiko (Art), Montgomery, Lucy Maud (Story)",True,Drama,Slice of Life,
Saint Seiya,"Adventure,Fantasy,Sci-Fi",1000,1139,7.74,114,24 min. per ep.,TV ,Oct 1986 , Apr 1989,190500,7.54,2647.0,941.0,18807.0,110,"Dec  3, 1985 to Nov  6, 1990",['Shounen'],Shounen Jump (Weekly),"Kurumada, Masami (Story & Art)",True,Adventure,Fantasy,Sci-Fi
Urusei Yatsura,"Action,Adventure,Comedy,Drama,Romance,Sci-Fi",1098,2181,7.7,195,25 min. per ep.,TV ,Oct 1981 , Mar 1986,90530,7.79,1330.0,1580.0,12245.0,366,"Aug  30, 1978 to Jan  21, 1987",['Shounen'],Shounen Sunday,"Takahashi, Rumiko (Story & Art)",True,Action,Adventure,Comedy
Inuyashiki,"Action,Drama,Sci-Fi",1200,316,7.66,11,22 min. per ep.,TV ,Oct 2017 , Dec 2017,653870,7.59,2262.0,263.0,59130.0,85,"Jan  28, 2014 to Jul  25, 2017",['Seinen'],Evening,"Oku, Hiroya (Story & Art)",True,Action,Drama,Sci-Fi
Hai to Gensou no Grimgar,"Action,Adventure,Drama,Fantasy",1199,241,7.66,12,24 min. per ep.,TV ,Jan 2016 , Mar 2016,740397,8.25,354.0,819.0,21421.0,Unknown,"Jun  25, 2013 to ?",[],,"Jyumonji, Ao (Story), Shirai, Eiri (Art)",True,Action,Adventure,Drama
Hana yori Dango,"Drama,Romance",1244,2491,7.64,51,25 min. per ep.,TV ,Sep 1996 , Aug 1997,63086,7.92,916.0,688.0,25261.0,244,Oct  1992 to Apr  2008,['Shoujo'],Margaret,"Kamio, Yoko (Story & Art)",True,Drama,Romance,
Fruits Basket,"Drama,Fantasy,Romance",1147,357,7.68,26,24 min. per ep.,TV ,Jul 2001 , Dec 2001,542402,8.52,126.0,76.0,141147.0,136,"Jul  18, 1998 to Nov  20, 2006",['Shoujo'],Hana to Yume,"Takaya, Natsuki (Story & Art)",True,Drama,Fantasy,Romance
Shoujo Kakumei Utena: Adolescence Mokushiroku,"Avant Garde,Drama,Fantasy,Girls Love,Romance",1298,2765,7.62,1,1 hr. 30 min.,Movie ,Aug 1999 , Aug 1999,54817,7.37,3977.0,5959.0,3160.0,2,1999,['Shoujo'],,"Saitou, Chiho (Story & Art)",True,Avant Garde,Drama,Fantasy
Soredemo Sekai wa Utsukushii,"Adventure,Fantasy,Romance",1299,705,7.62,12,22 min. per ep.,TV ,Apr 2014 , Jun 2014,318148,7.93,891.0,724.0,24027.0,150,"Mar  5, 2009 to May  20, 2020",['Shoujo'],Hana to Yume,"Shiina, Dai (Story & Art)",True,Adventure,Fantasy,Romance
"Yondemasu yo, Azazel-san.","Comedy,Supernatural",1399,3500,7.58,4,21 min. per ep.,OVA ,Feb 2010 , Jun 2014,32764,7.41,3628.0,6724.0,2769.0,162,"Oct  9, 2007 to Dec  21, 2018",['Seinen'],Evening,"Yasuhisa, Kubo (Story & Art)",True,Comedy,Supernatural,
Ichigo Mashimaro,"Comedy,Slice of Life",1247,1890,7.64,12,24 min. per ep.,TV ,Jul 2005 , Oct 2005,112813,7.91,941.0,2575.0,7668.0,Unknown,"Feb  15, 2002 to ?",[],Dengeki Daioh,Barasui (Story & Art),True,Comedy,Slice of Life,
World Trigger,"Action,Sci-Fi,Supernatural",1398,511,7.58,73,23 min. per ep.,TV ,Oct 2014 , Apr 2016,426112,7.81,1257.0,350.0,46150.0,Unknown,"Feb  9, 2013 to ?",['Shounen'],Jump SQ.,"Ashihara, Daisuke (Story & Art)",True,Action,Sci-Fi,Supernatural
Tensura Nikki: Tensei shitara Slime Datta Ken,"Comedy,Fantasy,Slice of Life",1447,751,7.57,12,23 min. per ep.,TV ,Apr 2021 , Jun 2021,342986,7.75,1486.0,3527.0,5631.0,Unknown,"Apr  26, 2018 to ?",['Shounen'],Shounen Sirius,Shiba (Story & Art),True,Comedy,Fantasy,Slice of Life
Jigoku Sensei Nube,"Adventure,Comedy,Horror,Romance,Supernatural",1498,4386,7.55,49,24 min. per ep.,TV ,Apr 1996 , Jun 1997,21813,7.6,2225.0,5247.0,3655.0,279,"Aug  24, 1993 to May  11, 1999",['Shounen'],Shounen Jump (Weekly),"Okano, Takeshi (Art), Makura, Shou (Story)",True,Adventure,Comedy,Horror
Giant Killing,"Drama,Sports",1494,2285,7.55,26,24 min. per ep.,TV ,Apr 2010 , Sep 2010,71370,8.0,742.0,1554.0,12509.0,Unknown,"Jan  11, 2007 to ?",['Seinen'],Morning,"Tsunamoto, Masaya (Story), Tsujitomo (Art)",True,Drama,Sports,
Densetsu no Yuusha no Densetsu,"Action,Adventure,Fantasy",1546,711,7.54,24,24 min. per ep.,TV ,Jul 2010 , Dec 2010,303673,7.87,1061.0,4506.0,4320.0,56,"Feb  25, 2002 to Oct  25, 2006",[],,"Kagami, Takaya (Story), Toyota, Saori (Art)",True,Action,Adventure,Fantasy
Candy Candy,"Drama,Slice of Life",1545,3655,7.54,115,25 min. per ep.,TV ,Oct 1976 , Feb 1979,32065,7.97,795.0,4293.0,4542.0,44,Mar  1975 to Feb  1979,['Shoujo'],Nakayoshi,"Igarashi, Yumiko (Art), Nagita, Keiko (Story)",True,Drama,Slice of Life,
Baka to Test to Shoukanjuu,"Comedy,Romance",1543,287,7.54,13,24 min. per ep.,TV ,Jan 2010 , Apr 2010,639468,7.9,982.0,2281.0,8525.0,143,"Jan  29, 2007 to Mar  30, 2015",[],,"Haga, Yui (Art), Inoue, Kenji (Story)",True,Comedy,Romance,
Hime-chan no Ribbon,"Comedy,Fantasy,Romance",1699,5996,7.49,61,24 min. per ep.,TV ,Oct 1992 , Dec 1993,10310,7.91,947.0,10067.0,1671.0,45,"Jul  3, 1990 to Dec  1, 1993",['Shoujo'],Ribon Magazine,"Mizusawa, Megumi (Story & Art)",True,Comedy,Fantasy,Romance
Hellsing,"Action,Horror,Supernatural",1694,247,7.49,13,23 min. per ep.,TV ,Oct 2001 , Jan 2002,732746,8.29,309.0,145.0,93614.0,92,"Apr  30, 1997 to Sep  30, 2008",['Seinen'],Young King OURs,"Hirano, Kouta (Story & Art)",True,Action,Horror,Supernatural
Hanbun no Tsuki ga Noboru Sora,"Comedy,Drama,Romance",1693,1791,7.49,6,24 min. per ep.,TV ,Jan 2006 , Feb 2006,101631,8.02,705.0,7411.0,2464.0,41,"Oct  10, 2003 to Aug  10, 2006",[],,"Hashimoto, Tsumugu (Story), Yamamoto, Keiji (Art)",True,Comedy,Drama,Romance
Special A,"Comedy,Romance",1598,549,7.52,24,24 min. per ep.,TV ,Apr 2008 , Sep 2008,369110,7.91,943.0,397.0,41425.0,104,"Feb  26, 2003 to Mar  19, 2009",['Shoujo'],Hana to Yume,"Minami, Maki (Story & Art)",True,Comedy,Romance,
Angel Densetsu,"Action,Comedy",1748,3295,7.47,2,24 min. per ep.,OVA ,Dec 1996 , Dec 1996,40983,8.29,313.0,288.0,55228.0,89,"May  7, 1992 to Feb  5, 2000",['Shounen'],Shounen Jump (Monthly),"Yagi, Norihiro (Story & Art)",True,Action,Comedy,
Akame ga Kill!,"Action,Fantasy",1747,28,7.47,24,23 min. per ep.,TV ,Jul 2014 , Dec 2014,2106053,7.83,1174.0,46.0,175546.0,80,"Apr  22, 2010 to Dec  22, 2016",['Shounen'],Gangan Joker,"Tashiro, Tetsuya (Art), Takahiro (Story)",True,Action,Fantasy,
Ajin,"Action,Horror,Mystery,Supernatural",1950,334,7.42,13,24 min. per ep.,TV ,Jan 2016 , Apr 2016,592814,7.98,774.0,86.0,130280.0,84,"Jul  6, 2012 to Feb  5, 2021",['Seinen'],good! Afternoon,"Sakurai, Gamon (Story & Art), Miura, Tsuina (Story)",True,Action,Horror,Mystery
Rozen Maiden,"Action,Comedy,Drama",1939,1007,7.42,12,24 min. per ep.,TV ,Oct 2004 , Dec 2004,206874,7.98,789.0,2217.0,8762.0,68,"Apr  17, 2008 to Jan  23, 2014",['Seinen'],Young Jump,PEACH‐PIT (Story & Art),True,Action,Comedy,Drama
Mitsuboshi Colors,"Comedy,Slice of Life",1935,1861,7.42,12,23 min. per ep.,TV ,Jan 2018 , Mar 2018,102232,7.63,2062.0,3742.0,5313.0,72,"Jul  26, 2014 to Jun  27, 2020",[],Dengeki Daioh,Katsuwo (Story & Art),True,Comedy,Slice of Life,
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou","Action,Fantasy",2149,279,7.37,13,23 min. per ep.,TV ,Jul 2020 , Sep 2020,810899,8.03,691.0,3464.0,5748.0,Unknown,"Mar  10, 2018 to ?",[],,"Shizuma, Yoshinori (Art), Shuu (Story)",True,Action,Fantasy,
Oruchuban Ebichu,"Comedy,Ecchi",2100,2722,7.38,24,8 min. per ep.,TV ,Aug 1999 , Oct 1999,53702,7.03,8222.0,15449.0,905.0,Unknown,Jul  1997 to Jan  2008,[],,"Itou, Risa (Story & Art)",True,Comedy,Ecchi,
Lodoss-tou Senki,"Action,Adventure,Fantasy,Supernatural",2147,2386,7.37,13,25 min. per ep.,OVA ,Jun 1990 , Nov 1991,78930,7.28,4952.0,13295.0,1132.0,37,"Apr  1, 1988 to Mar  1, 1993",[],,"Izubuchi, Yutaka (Art), Mizuno, Ryou (Story)",True,Action,Adventure,Fantasy
Futatsu no Spica,"Drama,Sci-Fi,Supernatural",2198,5611,7.36,20,25 min. per ep.,TV ,Nov 2003 , Mar 2004,11105,8.14,509.0,3242.0,6159.0,97,"Sep  5, 2001 to Aug  5, 2009",['Seinen'],Comic Flapper,"Yaginuma, Kou (Story & Art)",True,Drama,Sci-Fi,Supernatural
Hitorijime My Hero,"Boys Love,Drama,Romance,Slice of Life",2288,1297,7.34,12,24 min. per ep.,TV ,Jul 2017 , Sep 2017,171425,7.57,2387.0,1530.0,12601.0,Unknown,"May  28, 2011 to ?",[],gateau,"Arii, Memeco (Story & Art)",True,Boys Love,Drama,Romance
Ganbare Genki,"Action,Comedy,Sports",2285,9458,7.34,35,23 min. per ep.,TV ,Jul 1980 , Apr 1981,3295,7.55,2523.0,18825.0,655.0,225,1976 to  1981,['Shounen'],Shounen Sunday,"Koyama, Yuu (Story & Art)",True,Action,Comedy,Sports
Mushibugyou,"Action,Fantasy,Ecchi",2345,1960,7.32,26,23 min. per ep.,TV ,Apr 2013 , Sep 2013,91797,7.01,8635.0,7702.0,2347.0,15,"Aug  25, 2009 to Sep  25, 2010",['Shounen'],Shounen Sunday Super,"Fukuda, Hiroshi (Story & Art)",True,Action,Fantasy,Ecchi
"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu","Action,Fantasy",2397,1395,7.31,12,23 min. per ep.,TV ,Apr 2022 , Jun 2022,311893,7.22,5624.0,4291.0,4546.0,Unknown,"Jun  25, 2015 to ?",[],,"KeG (Art), Hakari, Enki (Story)",True,Action,Fantasy,
GJ-bu,"Comedy,Slice of Life",2400,1185,7.31,12,23 min. per ep.,TV ,Jan 2013 , Mar 2013,175993,7.44,3353.0,11729.0,1348.0,324,"Mar  18, 2010 to Mar  16, 2012",[],,"Araki, Shin (Story), Aruya (Art)",True,Comedy,Slice of Life,
Senyuu.,"Action,Comedy,Fantasy",2450,1607,7.3,13,4 min. per ep.,TV ,Jan 2013 , Apr 2013,117042,7.95,856.0,3722.0,5336.0,32,"May  2, 2012 to Apr  4, 2013",['Shounen'],Jump SQ.,"Haruhara, Robinson (Story & Art)",True,Action,Comedy,Fantasy
Ginban Kaleidoscope,"Drama,Romance,Sports,Supernatural",2398,2735,7.31,12,24 min. per ep.,TV ,Oct 2005 , Dec 2005,50366,7.17,6288.0,17865.0,713.0,Unknown,"Aug  20, 2005 to  2006",['Shoujo'],Margaret,"Hasegawa, Jun (Art), Kaibara, Rei (Story)",True,Drama,Romance,Sports
Tales of the Abyss,"Adventure,Drama,Fantasy",2549,1522,7.29,26,24 min. per ep.,TV ,Oct 2008 , Mar 2009,123680,7.41,3609.0,6762.0,2750.0,53,"Oct  27, 2005 to Nov  27, 2010",['Seinen'],Dengeki Maoh,"Rei (Art), Bandai-Namco (Story)",True,Adventure,Drama,Fantasy
Cuticle Tantei Inaba,"Action,Comedy,Mystery,Supernatural",2600,1789,7.27,12,23 min. per ep.,TV ,Jan 2013 , Mar 2013,107013,7.39,3847.0,6984.0,2644.0,127,"Aug  18, 2007 to Mar  18, 2017",[],GFantasy,Mochi (Story & Art),True,Action,Comedy,Mystery
MÄR,"Action,Adventure,Comedy,Fantasy",2649,2698,7.26,102,24 min. per ep.,TV ,Apr 2005 , Mar 2007,53456,7.36,4062.0,1145.0,15806.0,161,May  2003 to Jul  2006,['Shounen'],Shounen Sunday,"Anzai, Nobuyuki (Story & Art)",True,Action,Adventure,Comedy
